OMIM:253010,GLB1
OMIM:253200,ARSB
OMIM:253220,GUSB
OMIM:253250,TRIM37
OMIM:253260,BTD
OMIM:253270,HLCS
OMIM:253280,POMGNT1
OMIM:253310,GLE1
OMIM:253600,CAPN3
OMIM:253601,DYSF
OMIM:253700,SGCG
OMIM:253800,FKTN
OMIM:254110,TRIM32
OMIM:254130,DYSF
OMIM:254210,CHAT
OMIM:254300,DOK7
OMIM:254600,MPO
OMIM:254900,SCARB2
OMIM:254940,MYMK
OMIM:255100,FLAD1
OMIM:255110,CPT2
OMIM:255120,CPT1A
OMIM:255125,ISCU
OMIM:255160,MYH7
OMIM:255200,BIN1
OMIM:255320,RYR1
OMIM:255600,COL6A2
OMIM:255700,CLCN1
OMIM:255800,HSPG2
OMIM:255960,PRKAR1A
OMIM:255995,STAC3
OMIM:256020,LMX1B
OMIM:256030,NEB
OMIM:256040,PSMB8
OMIM:256050,SLC26A2
OMIM:256100,NPHP1
OMIM:256300,NPHS1
OMIM:256370,WT1
OMIM:256450,ABCC8
OMIM:256500,SPINK5
OMIM:256540,CTSA
OMIM:256550,NEU1
OMIM:256600,PLA2G6
OMIM:256700,KIF1B
OMIM:256730,PPT1
OMIM:256731,CLN5
OMIM:256800,NTRK1
OMIM:256810,MPV17
OMIM:256840,CCT5
OMIM:256850,GAN
OMIM:257200,SMPD1
OMIM:257220,NPC1
OMIM:257270,GRM6
OMIM:257320,RELN
OMIM:257850,GJA1
OMIM:257980,WNT10A
OMIM:258150,SYCP2
OMIM:258315,GPC6
OMIM:258450,POLG
OMIM:258480,INPPL1
OMIM:258660,GP1BA
OMIM:258860,TCTN3
OMIM:258870,OAT
OMIM:258900,UMPS
OMIM:259050,ZBTB20
OMIM:259440,PPIB
OMIM:259600,MMP2
OMIM:259700,TCIRG1
OMIM:259710,TNFSF11
OMIM:259720,OSTM1
OMIM:259730,CA2
OMIM:259770,LRP5
OMIM:259775,FAM20C
OMIM:259900,AGXT
OMIM:260000,GRHPR
OMIM:260005,OPLAH
OMIM:260500,TP53
OMIM:260540,MAPT
OMIM:260600,AIMP1
OMIM:260660,TBX15
OMIM:260800,DCXR
OMIM:260920,MVK
OMIM:261000,CBLIF
OMIM:261500,EPX
OMIM:261540,B3GLCT
OMIM:261600,PAH
OMIM:261630,QDPR
OMIM:261640,PTS
OMIM:261650,PCK2
OMIM:261670,PGAM2
OMIM:261680,PCK1
OMIM:261740,PRKAG2
OMIM:261750,PHKB
OMIM:261990,HEPHL1
OMIM:262000,BCS1L
OMIM:262190,INSR
OMIM:262300,CNGB3
OMIM:262500,GHR
OMIM:262600,PROP1
OMIM:262650,GH1
OMIM:262700,LHX4
OMIM:262850,SERPINF2
OMIM:262890,ANO6
OMIM:263200,PKHD1
OMIM:263210,ALG9
OMIM:263400,VHL
OMIM:263520,NEK1
OMIM:263570,GBE1
OMIM:263650,RIPK4
OMIM:263750,DHODH
OMIM:264070,PCBD1
OMIM:264080,PGR
OMIM:264090,POLR3A
OMIM:264300,HSD17B3
OMIM:264470,ACOX1
OMIM:264600,SRD5A2
OMIM:265100,SLC34A2
OMIM:265120,SFTPB
OMIM:265380,FOXF1
OMIM:265800,CTSK
OMIM:265900,SFRP4
OMIM:266120,NT5C3A
OMIM:266130,GSS
OMIM:266150,PC
OMIM:266200,PKLR
OMIM:266265,SLC35C1
OMIM:266280,RECQL4
OMIM:266510,PEX12
OMIM:266920,IFT140
OMIM:267000,DIS3L2
OMIM:267010,NPHP3
OMIM:267300,ATP6V1B1
OMIM:267500,AK2
OMIM:267750,COL18A1
OMIM:268100,NR2E3
OMIM:268130,TINF2
OMIM:268150,RHAG
OMIM:268200,LPIN1
OMIM:268210,SLC22A18
OMIM:268300,ESCO2
OMIM:268305,EIF4A3
OMIM:268400,RECQL4
OMIM:268800,HEXB
OMIM:268900,SARDH
OMIM:269150,SETBP1
OMIM:269500,SOST
OMIM:269600,APOE
